Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
BA2095QEYNGS,BA2095,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0373TNGTFB,AA0373,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0671BVTTFB,AA0671,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0192GBJBOD,AA0192,F0C0Y76,76,65.4,86.05,81.84,93.95,0.0
BA2179TFBSEN,BA2179,F0C0Y76,76,68.2,89.74,72.63,99.47,20.0
AA0456TFBMBY,AA0456,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2645QEYTNG,BA2645,F0C0Y76,76,61.0,80.26,71.32,92.89,0.0
BA2618TNGQEY,BA2618,F0C0Y76,76,75.0,98.68,94.74,100.0,80.0
AA0129TFBGBJ,AA0129,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0189BODGBJ,AA0189,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0611MBTTFB,AA0611,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA3481TCBTFB,AA3481,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2302TFBCJM,BA2302,F0C0Y76,76,73.2,96.32,90.79,100.0,60.0
BA2255TFBSOP,BA2255,F0C0Y76,76,59.6,78.42,61.32,98.16,20.0
AA0578QEYTBO,AA0578,F16C0Y165,165,162.6,98.55,95.64,100.0,60.0
AA0625MBTQEY,AA0625,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0019NDPTFB,AA0019,F16C0Y165,165,157.2,95.27,88.12,100.0,40.0
AA0613MBTTFB,AA0613,F16C0Y165,165,159.6,96.73,90.18,100.0,60.0
AA0024TFBCPT,AA0024,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2390TFBCPJ,BA2390,F16C0Y165,165,117.8,71.39,65.09,76.48,0.0
AA0312TFBTGP,super_AA0312,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2614TGPQEY,BA2614,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0575TBOQEY,AA0575,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2459CAOTFB,BA2459,F0C0Y76,76,69.6,91.58,83.16,99.74,20.0
AA0086BODTFB,AA0086,F0C0Y76,76,61.4,80.79,62.63,99.21,20.0
BA2269CPJTFB,BA2269,F16C0Y165,165,145.4,88.12,80.73,98.79,20.0
AA0821TFBTNG,super_AA0821,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0636TFBQIY,AA0636,F16C0Y165,165,124.6,75.52,72.36,80.24,0.0
AA0619MBTTFB,AA0619,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0234TGPTKE,super_AA0234,F16C0Y165,165,66.2,40.12,35.39,45.7,0.0
AA0182GBJBOD,AA0182,F0C0Y76,76,74.6,98.16,93.42,100.0,60.0
BA2485CMJTFB,BA2485,F16C0Y165,165,137.2,83.15,67.03,97.33,20.0
AA0626QEYMBT,AA0626,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2359HFHQEY,BA2359,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2321IMOHUG,super_BA2321,F12C12Y48,48,0.0,0.0,0.0,0.0,0.0
AA0504TFBTOB,AA0504,F16C0Y165,165,161.6,97.94,93.58,100.0,60.0
AA0566QEYMBY,AA0566,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0867TFBPHH,AA0867,F16C0Y165,165,162.6,98.55,94.18,100.0,80.0
AA0127TFBGBJ,AA0127,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
