Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P027251,1.7,1.48,1.7,0.0,330.0,561.0,AA0097TFBBOD -> BA2369HFHTFB,AA0097 -> BA2369,F16C0Y165 -> F0C0Y76,AA0097TFBBOD,8.795
P034843,5.1,4.77,5.1,0.0,110.0,561.0,BA2356QEYHFH,BA2356,F0C0Y76,BA2356QEYHFH,0.0
P043910,5.1,5.45,5.1,0.0,110.0,561.0,BA2381ZZKTFB,BA2381,F0C0Y76,BA2381ZZKTFB,1.04
P017648,3.55,3.18,3.55,0.0,158.0,560.9,AA0632TFBQIY,AA0632,F16C0Y165,AA0632TFBQIY,5.15
P008700,3.15,3.16,3.15,0.0,178.0,560.7,AA0609MBTTFB,AA0609,F16C0Y165,AA0609MBTTFB,4.5125
P013141,2.1,2.18,2.1,0.0,267.0,560.7,AA0566QEYMBY,AA0566,F0C0Y76,AA0566QEYMBY,4.15
P041176,4.45,4.76,4.45,0.0,126.0,560.7,BA2116TFBZZD,BA2116,F0C0Y76,BA2116TFBZZD,2.17
P039944,5.05,5.12,5.05,0.0,111.0,560.55,AA3474TFBMHC,AA3474,F0C0Y76,AA3474TFBMHC,3.65
P005406,1.25,0.81,1.25,0.0,448.0,560.0,BA2204TFBZWS -> AA0663EGXTFB,BA2204 -> AA0663,F0C0Y72 -> F0C0Y76,AA0663EGXTFB,7.1
P010651,4.0,3.83,4.0,0.0,140.0,560.0,AA0451MBYTFB,AA0451,F16C0Y165,AA0451MBYTFB,4.1725
P017995,2.5,2.09,2.5,0.0,224.0,560.0,AA0316TFBTGP,AA0316,F16C0Y165,AA0316TFBTGP,0.0
P020095,2.9,3.02,2.9,0.0,193.0,559.7,AA0317TGPTFB -> AA0225TKETGP,super_AA0317 -> super_AA0225,F16C0Y165 -> F16C0Y165,AA0225TKETGP,3.595
P004376,4.95,4.36,4.95,0.0,113.0,559.35,AA0061DEWBOD,super_AA0061,F12C12Y48,AA0061DEWBOD,0.0
P039074,1.9,1.41,1.9,0.0,294.0,558.6,AA0731TFBBOD,super_AA0731,F16C0Y165,AA0731TFBBOD,0.0
P036299,3.85,3.06,3.85,0.0,145.0,558.25,BA2056QEYTFB,BA2056,F0C0Y72,BA2056QEYTFB,0.0525
P046254,3.85,3.89,3.85,0.0,145.0,558.25,BA2627TFBQEY,BA2627,F12C12Y48,BA2627TFBQEY,1.925
P020964,2.0,1.75,2.0,0.0,279.0,558.0,AA0137QEYBOD -> AA0583TOBQEY,AA0137 -> AA0583,F16C0Y165 -> F16C0Y165,AA0137QEYBOD,6.635
P041555,2.25,1.98,2.25,0.0,248.0,558.0,AA0111TFBBOD -> AA0820TNGTFB,AA0111 -> super_AA0820,F0C0Y76 -> F16C0Y165,AA0111TFBBOD,7.2475
P037564,4.1,4.63,4.1,0.0,136.0,557.6,BA2107QTDTFB,BA2107,F0C0Y76,BA2107QTDTFB,0.0
P013404,3.55,3.44,3.55,0.0,157.0,557.35,AA0590QEYTOB,AA0590,F0C0Y76,AA0590QEYTOB,0.43
P031551,7.85,7.28,7.85,0.0,71.0,557.35,BA2078MBYTKD,BA2078,F0C0Y76,BA2078MBYTKD,1.54
P013110,3.95,3.58,3.95,0.0,141.0,556.95,AA0560QEYMBY,AA0560,F16C0Y165,AA0560QEYMBY,4.15
P031855,1.6,1.51,1.6,0.0,348.0,556.8,AA0846MJIPBL,AA0846,F16C0Y165,AA0846MJIPBL,6.54
P044960,6.55,5.98,6.55,0.0,85.0,556.75,BA2593QEYCPJ,BA2593,F12C12Y48,BA2593QEYCPJ,1.47
P003137,2.3,2.27,2.3,0.0,242.0,556.6,AA0070BODTJU,,,AA0070BODTJU,0.0
P013276,2.65,2.79,2.65,0.0,210.0,556.5,AA0578QEYTBO,AA0578,F16C0Y165,AA0578QEYTBO,3.9375
P038393,2.8,2.14,2.65,0.15,210.0,556.5,AA0686QEYPSE -> BA2034SENQEY,AA0686 -> BA2034,F16C0Y165 -> F0C0Y76,AA0686QEYPSE,6.155
P047110,5.5,6.08,5.3,0.2,105.0,556.5,BA2543ZFHTFB,BA2543,F0C0Y76,BA2543ZFHTFB,0.2625
P023578,5.2,5.04,5.2,0.0,107.0,556.4,BA2493CMJTFB,BA2493,F0C0Y76,BA2493CMJTFB,2.6075
P039265,5.4,6.4,5.4,0.0,103.0,556.2,BA2140TFBCPJ,BA2140,F0C0Y76,BA2140TFBCPJ,0.2025
P017059,3.05,2.74,3.05,0.0,182.0,555.1,AA0067TFBKOV,,,AA0067TFBKOV,0.0
P040420,6.1,5.11,6.1,0.0,91.0,555.1,BA2061TFBQEY,BA2061,F0C0Y76,BA2061TFBQEY,1.175
P004006,1.85,2.15,1.85,0.0,300.0,555.0,AA0055CSXBOD,super_AA0055,F12C12Y48,AA0055CSXBOD,1.31
P005067,1.85,1.79,1.85,0.0,300.0,555.0,AA0685EFOTFB,AA0685,F16C0Y165,AA0685EFOTFB,4.855
P008385,3.7,3.36,3.7,0.0,150.0,555.0,AA0629MBTQEY -> BA2350QEYHFH,AA0629 -> BA2350,F16C0Y165 -> F0C0Y76,AA0629MBTQEY,3.8125
P006099,1.55,1.6,1.55,0.0,358.0,554.9,AA0153BODPNF -> AA0188GBJBOD,AA0188,F0C0Y72,AA0153BODPNF,0.0
P022576,3.1,3.27,3.1,0.0,179.0,554.9,BA2129TFBQEY -> BA2433CJMTFB,BA2129 -> BA2433,F0C0Y76 -> F0C0Y76,BA2433CJMTFB,1.745
P041308,4.05,3.69,4.05,0.0,137.0,554.85,BA2404TKDCPJ,super_BA2404,F0C0Y76,BA2404TKDCPJ,0.0
P034144,3.65,3.3,3.65,0.0,152.0,554.8,BA2513QEYCPJ,BA2513,F12C12Y48,BA2513QEYCPJ,2.355
P043986,3.8,3.04,3.8,0.0,146.0,554.8,AA0512TFBTOB -> BA2385ZZKTFB,AA0512 -> BA2385,F16C0Y165 -> F0C0Y76,AA0512TFBTOB,4.4325
