Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA3461POUQEY,0.83,1.6769,0.0,4.1875
AA3476TFBMHC,2.555,1.6726,0.0,3.65
AA0254MBYQWS,4.4775,1.7686,0.0,5.75
AA0461MBYTFB,4.395,0.6834,3.3125,5.75
AA0482TFBTBO,0.96,1.559,0.0,3.605
AA3295EVUBOD,1.86,5.58,0.0,18.6
BA2096TFBBMX,2.2825,1.0555,0.0,3.2025
AA0619MBTTFB,5.0925,1.5608,1.71,6.51
AA0517TOBTFB,5.975,0.109,5.975,6.0
AA0152PUABOD,0.2625,1.1442,0.0,0.2625
AA3462QEYPOU,0.0,0.0,0.0,0.0
BA2513QEYCPJ,2.355,1.4739,0.0,3.6
AA0731JBITFB,5.445,1.815,0.0,6.05
BA2104TFBQTD,0.0,0.0,0.0,0.0
BA2583ZFHTFB,0.0,0.0,0.0,0.0
AA0089TFBBOD,8.015,0.937,6.815,9.3575
AA0002TFBEDB,10.5775,0.2447,10.31,10.65
AA0129TFBGBJ,9.3375,0.648,8.65,10.1
AA0303TGPTFB,1.15,1.6964,0.0,4.15
AA0828LPBPBL,7.2675,3.053,0.0,8.55
BA2351HFHQEY,2.9075,0.2749,2.8,3.7
BA2388TFBZZK,0.165,0.7192,0.0,0.165
AA0835PBLIOM,6.9,3.4511,0.0,8.65
AA0086BODTFB,0.36,1.5692,0.0,0.36
BA2369HFHTFB,3.7275,0.3006,3.4775,4.2
AA0320TFBTKD,3.5825,1.4279,0.0,4.36
AA0220TGPQWS,5.33,1.799,0.0,5.915
AA0524TFBCVS,0.36,1.0994,0.0,3.015
AA0809QEYPHH,10.395,0.335,10.1,10.805
BA2076MBYTKD,1.3825,1.2594,0.0,2.485
AA0704ZWSMBY,0.29,1.2641,0.0,0.29
BA2478QEYTFB,0.0,0.0,0.0,0.0
BA2207ZLNTFB,0.0,0.0,0.0,0.0
AA0363TNGTFB,0.0,0.0,0.0,0.0
BA2302TFBCJM,0.55,1.1873,0.0,2.6175
AA0581TOBQEY,4.185,0.1711,3.93,4.25
BA2433CJMTFB,1.745,1.9205,0.0,4.915
BA2627TFBQEY,1.925,1.2058,0.0,3.2
AA0022TFBPSE,6.4225,1.0023,4.9425,7.01
AA0365TNGTFB,4.72,1.1532,4.5125,5.95
AA0637QIYTFB,2.5575,2.2223,0.0,5.4
AA0060KOVLUO,6.1425,2.1313,0.0,8.1
BA2397NTPTFB,0.0,0.0,0.0,0.0
AA0323TKDTFB,0.0,0.0,0.0,0.0
AA0066BODDEW,0.5975,1.4259,0.0,3.8275
BA2326TFBHUG,4.0525,2.7194,0.0,7.05
AA0096BODTFB,3.73,3.4954,0.0,7.8
BA2405CPJTNG,0.0,0.0,0.0,0.0
BA2404TKDCPJ,0.0,0.0,0.0,0.0
BA2594TFBHFH,0.0,0.0,0.0,0.0
BA2081QEYFVH,1.4,0.5116,0.73,2.1075
AA0024TFBCPT,6.74,0.0436,6.74,6.75
BA2239CPJTFB,0.0,0.0,0.0,0.0
AA0249HEMMBY,5.225,0.4763,4.95,6.05
BA2296FVHTFB,0.1525,0.3757,0.0,1.25
AA0302TGPQTQ,0.0,0.0,0.0,0.0
AA0843TFBLPB,5.5125,4.5359,0.0,9.6875
BA2331HFHTFB,3.2125,0.235,2.75,3.6
BA2048QEYHFH,0.14,0.6102,0.0,0.14
AA0867TFBPHH,7.5425,3.3378,0.0,9.75
BA2589QEYPBL,0.1025,0.4468,0.0,0.1025
AA0225TGPQEY,0.095,0.3118,0.0,0.59
AA0346TFBPBL,3.4425,1.4461,0.0,4.05
BA2404MBYTKD,1.945,1.2636,0.0,3.15
BA2359HFHQEY,2.75,0.15,2.3,2.8
AA0579TBOQEY,0.9125,1.8254,0.0,4.65
AA0400QEYTKD,3.49,1.6818,0.0,5.2
AA0362TFBTNG,0.0,0.0,0.0,0.0
BA2040FVHQEY,0.0,0.0,0.0,0.0
BA2101QTDTFB,2.195,0.7965,1.21,3.3
AA0075TFBKOV,0.7525,2.2582,0.0,7.3675
AA0529CVSTFB,0.57,1.3857,0.0,4.12
AA0055CSXBOD,1.31,3.3144,0.0,8.9725
AA0505TOBTFB,4.45,0.0,4.45,4.45
AA0053BODTDD,0.0,0.0,0.0,0.0
AA0712ZWSMBY,5.8,0.0,5.8,5.8
AA0041BODCFU,0.1675,0.7301,0.0,0.1675
BA2645QEYTNG,0.32,0.96,0.0,3.2
BA2532GBUQEY,2.33,2.6514,0.0,5.6
AA0879PBLMJI,4.99,4.0809,0.0,8.45
AA0659QIYQEY,4.1525,1.3728,1.31,5.4
BA2452NGSTFB,3.5775,1.8211,0.0,5.45
AA0862PHHQEY,11.35,0.0,11.35,11.35
AA3454QEYCVS,3.775,1.2671,0.0,4.25
BA2208TFBZLN,0.28,0.6421,0.0,1.7725
BA2377QEYTKD,0.0925,0.4032,0.0,0.0925
AA0151BODPUA,8.355,2.4186,5.035,9.45
BA2593QEYCPJ,1.47,1.5448,0.0,3.6
AA0081TFBBOD,11.14,0.0436,11.14,11.15
AA0660TFBEGX,6.905,0.3704,6.2175,7.05
AA0647MBTCMJ,5.2875,0.1635,5.25,5.2875
AA0015CPTTFB,7.4625,0.3731,7.05,7.8
AA0061DEWBOD,0.0,0.0,0.0,0.0
AA0035CPTQEY,7.8375,0.0545,7.8375,7.85
AA0871IOMBOD,11.65,0.0,11.65,11.65
AA0852IOMTFB,10.715,0.3905,10.45,11.45
BA2644QEYFVH,0.055,0.2397,0.0,0.055
BA2102TFBQTD,0.0,0.0,0.0,0.0
AA0325TKDTFB,1.72,1.7359,0.0,4.3
BA2218MXTTFB,0.0,0.0,0.0,0.0
BA2172QEYTFB,1.675,1.2387,0.0,3.2
AA0854MJITFB,11.5525,0.619,11.515,11.6875
BA2636PBLQEY,3.8375,0.3263,3.0325,3.95
BA2610PBLQEY,0.0,0.0,0.0,0.0
AA0634QEYQIY,0.0,0.0,0.0,0.0
AA0536TFBPOU,3.375,1.9486,0.0,4.5
BA2110TFBQTD,0.31,0.6326,0.0,1.71
BA2534GBUTFB,0.0,0.0,0.0,0.0
BA2019QEYSEN,0.4425,0.7895,0.0,2.305
BA2011TFBNGS,3.935,2.025,0.0,5.5
BA2049HFHQEY,2.66,0.6102,2.66,2.8
AA0491TBOTFB,2.01,2.2298,0.0,4.6
AA0628CMJMBT,4.25,0.0,4.25,4.25
AA0183BODGBJ,4.2325,1.2775,2.2,6.1075
BA2281TFBFVH,0.24,0.4256,0.0,1.21
AA0894LPBTKD,8.3075,1.9956,6.935,9.05
BA2490TFBCMJ,0.0,0.0,0.0,0.0
AA3299EVUBOD,5.84,8.9311,0.0,20.5
AA0092BODTFB,0.0,0.0,0.0,0.0
BA2227ZWSTFB,0.0,0.0,0.0,0.0
BA2387ZZKTFB,0.0,0.0,0.0,0.0
AA0181BODGBJ,5.155,1.3987,4.465,6.25
BA2580TFBZFH,3.9775,2.3106,0.0,6.05
AA0812PHHTKD,4.505,4.5148,0.0,9.15
AA0488TFBTBO,0.1325,0.5776,0.0,0.1325
AA0132BODQEY,0.0,0.0,0.0,0.0
AA0016TFBNJB,1.9375,3.3929,0.0,8.25
AA0098BODTFB,0.0,0.0,0.0,0.0
BA2069FBUTFB,0.0,0.0,0.0,0.0
BA2633QEYTNG,3.625,0.5439,3.2,4.065
BA2285GDBTFB,0.0,0.0,0.0,0.0
