Product,Max_Demand,Sold_Tickets,Legs,Tasks,Assigned_Fleets
P042307,0.52,0.52,AA0678TFBEFO -> BA2409ZWSTFB,AA0678 -> BA2409,F16C0Y165 -> F16C0Y165
P042310,0.97,0.97,AA0678TFBEFO -> BA2409ZWSTFB,AA0678 -> BA2409,F16C0Y165 -> F16C0Y165
P042314,23.347553401584317,2.95,AA0678TFBEFO -> BA2409ZWSTFB,AA0678 -> BA2409,F16C0Y165 -> F16C0Y165
P042315,12.045726640476618,12.05,AA0678TFBEFO -> BA2409ZWSTFB,AA0678 -> BA2409,F16C0Y165 -> F16C0Y165
P042317,0.79,0.79,AA0660TFBEGX -> BA2265ZWSTFB,AA0660 -> BA2265,F16C0Y165 -> F16C0Y165
P042319,5.759970247946372,5.76,AA0660TFBEGX -> BA2265ZWSTFB,AA0660 -> BA2265,F16C0Y165 -> F16C0Y165
P042320,0.5900000000000001,0.59,AA0660TFBEGX -> BA2265ZWSTFB,AA0660 -> BA2265,F16C0Y165 -> F16C0Y165
P042321,0.05,0.05,AA0660TFBEGX -> BA2265ZWSTFB,AA0660 -> BA2265,F16C0Y165 -> F16C0Y165
P042322,5.055665385307114,5.06,AA0660TFBEGX -> BA2265ZWSTFB,AA0660 -> BA2265,F16C0Y165 -> F16C0Y165
P042326,0.05,0.05,AA0660TFBEGX -> BA2265ZWSTFB,AA0660 -> BA2265,F16C0Y165 -> F16C0Y165
P042328,0.33,0.33,AA0664TFBEGX -> BA2409ZWSTFB,AA0664 -> BA2409,F16C0Y165 -> F16C0Y165
P042329,17.485173764696476,17.49,AA0664TFBEGX -> BA2409ZWSTFB,AA0664 -> BA2409,F16C0Y165 -> F16C0Y165
P042331,19.41681926092155,19.42,AA0664TFBEGX -> BA2409ZWSTFB,AA0664 -> BA2409,F16C0Y165 -> F16C0Y165
P042336,7.68,4.96,AA0664TFBEGX -> BA2409ZWSTFB,AA0664 -> BA2409,F16C0Y165 -> F16C0Y165
P042341,5.935052405315656,5.94,AA0123TFBGBJ -> BA2033ZWSTFB,AA0123 -> BA2033,F16C0Y165 -> F16C0Y165
P042342,19.305407254630836,19.31,AA0123TFBGBJ -> BA2033ZWSTFB,AA0123 -> BA2033,F16C0Y165 -> F16C0Y165
P042349,0.7200000000000001,0.72,AA0123TFBGBJ -> BA2033ZWSTFB,AA0123 -> BA2033,F16C0Y165 -> F16C0Y165
P042354,12.275743602173844,12.28,AA0129TFBGBJ -> BA2233ZWSTFB,AA0129 -> BA2233,F16C0Y165 -> F16C0Y165
P042358,22.80028898012175,0.92,AA0129TFBGBJ -> BA2233ZWSTFB,AA0129 -> BA2233,F16C0Y165 -> F16C0Y165
P042364,19.305407254630836,19.31,AA0123TFBGBJ -> BA2267ZWSTFB,AA0123 -> BA2267,F16C0Y165 -> F16C0Y165
P042386,19.54124548881412,15.95,BA2438TFBHFH -> BA2033ZWSTFB,BA2438 -> BA2033,F16C0Y165 -> F16C0Y165
P042387,12.148261248616333,12.15,BA2438TFBHFH -> BA2033ZWSTFB,BA2438 -> BA2033,F16C0Y165 -> F16C0Y165
P042395,17.37854191793948,17.38,BA2270TFBHFH -> BA2233ZWSTFB,BA2270 -> BA2233,F16C0Y165 -> F16C0Y165
P042401,0.67,0.67,BA2270TFBHFH -> BA2233ZWSTFB,BA2270 -> BA2233,F16C0Y165 -> F16C0Y165
P042404,1.65,1.65,BA2270TFBHFH -> BA2233ZWSTFB,BA2270 -> BA2233,F16C0Y165 -> F16C0Y165
P042415,5.568432339266027,5.57,AA0698TFBHFH -> BA2243ZWSTFB,AA0698 -> BA2243,F16C0Y165 -> F0C0Y76
P042420,12.148261248616333,12.15,BA2332TFBHFH -> BA2265ZWSTFB,BA2332 -> BA2265,F16C0Y165 -> F16C0Y165
P042423,0.67,0.67,BA2332TFBHFH -> BA2265ZWSTFB,BA2332 -> BA2265,F16C0Y165 -> F16C0Y165
P042426,0.33,0.33,BA2332TFBHFH -> BA2265ZWSTFB,BA2332 -> BA2265,F16C0Y165 -> F16C0Y165
P042431,12.279660424147163,12.28,BA2506TFBHFH -> BA2267ZWSTFB,BA2506 -> BA2267,F16C0Y165 -> F16C0Y165
