Product,Historical_Demand,MC_Mean_Demand,Expected_Sold,Std_Sold,P5_Sold,P95_Sold,Expected_Unmet,Fare,Legs,Tasks,Assigned_Fleets
P000268,0.22,0.2,0.2,0.4,0.0,0.8,0.0,313.0,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000274,0.33,0.0,0.0,0.0,0.0,0.0,0.0,349.0,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000275,0.21,0.2,0.2,0.4,0.0,0.8,0.0,449.0,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F0C0Y76
P000276,1.84,2.0,2.0,1.79,0.2,4.6,0.0,250.0,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F0C0Y76
P000277,1.11,0.4,0.4,0.49,0.0,1.0,0.0,386.0,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F0C0Y76
P000287,0.67,0.6,0.6,0.49,0.0,1.0,0.0,250.0,AA0084BODTFB -> BA2368TFBCPJ,AA0084 -> BA2368,F16C0Y165 -> F0C0Y76
P000298,0.55,0.2,0.2,0.4,0.0,0.8,0.0,250.0,AA0090BODTFB -> BA2268TFBCPJ,AA0090 -> BA2268,F0C0Y76 -> F0C0Y76
P000300,0.4,0.8,0.8,1.17,0.0,2.6,0.0,269.0,AA0090BODTFB -> BA2268TFBCPJ,AA0090 -> BA2268,F0C0Y76 -> F0C0Y76
P000309,0.53,0.8,0.8,0.75,0.0,1.8,0.0,250.0,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F0C0Y76
P000310,0.3,0.2,0.2,0.4,0.0,0.8,0.0,386.0,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F0C0Y76
P000311,0.22,0.0,0.0,0.0,0.0,0.0,0.0,269.0,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F0C0Y76
P000320,0.35,0.2,0.2,0.4,0.0,0.8,0.0,250.0,AA0096BODTFB -> BA2140TFBCPJ,AA0096 -> BA2140,F0C0Y76 -> F0C0Y76
P000331,1.34,1.4,1.4,1.36,0.0,3.0,0.0,250.0,AA0112BODTFB -> BA2136TFBCPJ,AA0112 -> BA2136,F0C0Y76 -> F16C0Y165
P000341,0.4,0.4,0.4,0.8,0.0,1.6,0.0,449.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000342,10.52,8.4,8.4,2.24,6.2,11.6,0.0,250.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
