Leg,Task,Origin,Destination,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Total_Passengers,Expected_Load(%),Load_Factor(%),Bottleneck_Freq(%),Expected_Shadow_Price,Shadow_Price,Attributed_Revenue,Revenue_Contribution,Revenue_Per_Pax,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA0634QEYQIY,AA0634,QEY,QIY,AA0634,F16C0Y165,165,112.6,112.6,68.24,68.24,0.0,0.0,0.0,14254.2,14254.2,126.59,16,14254.2,Downgauge,"This leg has limited scarcity signal and relatively low load, suggesting smaller capacity may fit."
AA0403TKDQEY,AA0403,TKD,QEY,AA0403,F16C0Y165,165,118.0,118.0,71.52,71.52,0.0,0.0,0.0,14184.2,14184.2,120.21,30,14184.2,Keep,This leg does not currently exhibit a strong adjustment signal.
AA3462QEYPOU,AA3462,QEY,POU,AA3462,F16C0Y165,165,136.2,136.2,82.55,82.55,0.0,0.0,0.0,14007.4,14007.4,102.84,26,14007.4,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0678TFBEFO,AA0678,TFB,EFO,AA0678,F16C0Y165,165,127.2,127.2,77.09,77.09,0.0,0.0,0.0,13930.8,13930.8,109.52,41,13930.8,Keep,This leg does not currently exhibit a strong adjustment signal.
BA2570QEYTFB,BA2570,QEY,TFB,BA2570,F16C0Y165,165,144.6,144.6,87.64,87.64,0.0,0.0,0.0,13874.7,13874.7,95.95,155,13874.7,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0664TFBEGX,AA0664,TFB,EGX,AA0664,F0C0Y76,76,74.0,74.0,97.37,97.37,60.0,14.6,14.6,12739.8,12739.8,172.16,35,13849.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2455CAOTFB,BA2455,CAO,TFB,BA2455,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,20.32,20.32,12274.67,12274.67,161.51,34,13818.99,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0045BODCFU,AA0045,BOD,CFU,AA0045,F0C0Y76,76,67.4,67.4,88.68,88.68,40.0,7.48,7.48,13226.5,13226.5,196.24,39,13794.98,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3452QEYCVS,AA3452,QEY,CVS,AA3452,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,20.36,20.36,12233.7,12233.7,160.97,15,13781.06,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3491GBUTFB,AA3491,GBU,TFB,AA3491,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,22.56,22.56,11950.4,11950.4,157.24,36,13664.96,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2624QEYTFB,BA2624,QEY,TFB,BA2624,F16C0Y165,165,165.0,165.0,100.0,100.0,100.0,2.52,2.52,13242.6,13242.6,80.26,230,13658.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0044CFUBOD,AA0044,CFU,BOD,AA0044,F0C0Y76,76,59.4,59.4,78.16,78.16,0.0,0.0,0.0,13593.5,13593.5,228.85,9,13593.5,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0151BODPUA,AA0151,BOD,PUA,super_AA0151,F12C12Y48,48,48.0,48.0,100.0,100.0,100.0,31.16,31.16,12064.8,12064.8,251.35,6,13560.48,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3453CVSQEY,AA3453,CVS,QEY,AA3453,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,25.0,25.0,11650.4,11650.4,153.29,16,13550.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0607MBTTFB,AA0607,MBT,TFB,AA0607,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,24.56,24.56,11680.8,11680.8,153.69,44,13547.36,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2474TUTTFB,BA2474,TUT,TFB,super_BA2474,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,19.2,19.2,12071.3,12071.3,158.83,16,13530.5,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2539TFBGBU,BA2539,TFB,GBU,BA2539,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,21.92,21.92,11863.6,11863.6,156.1,43,13529.52,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0485TBOTFB,AA0485,TBO,TFB,AA0485,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,25.0,25.0,11625.0,11625.0,152.96,42,13525.0,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0344TFBPBL,AA0344,TFB,PBL,AA0344,F16C0Y165,165,120.0,120.0,72.73,72.73,0.0,0.0,0.0,13473.3,13473.3,112.28,20,13473.3,Keep,This leg does not currently exhibit a strong adjustment signal.
AA3294BODEVU,AA3294,BOD,EVU,AA3294,F12C12Y48,48,38.0,38.0,79.17,79.17,0.0,0.0,0.0,13431.8,13431.8,353.47,13,13431.8,Keep,This leg does not currently exhibit a strong adjustment signal.
