Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA0316TFBTGP,0.0,0.0,0.0,0.0
AA0134BODQEY,0.0,0.0,0.0,0.0
BA2155FBUTFB,9.64,0.7838,9.0,10.6
BA2280FVHTFB,5.96,5.5906,0.88,13.8
AA0606TFBMBT,20.6,0.0,20.6,20.6
AA3473MHCTFB,18.36,2.6454,15.16,21.92
AA0527CVSTFB,18.0,0.0,18.0,18.0
AA0320TFBTKD,12.72,6.4963,2.72,17.2
AA0521CVSTFB,18.0,0.0,18.0,18.0
AA0637QIYTFB,9.16,7.7536,0.0,17.88
BA2299TFBFVH,0.0,0.0,0.0,0.0
BA2297TFBSEN,3.44,3.4349,0.0,8.12
AA0227TKDTFB,3.44,6.88,0.0,13.76
AA0474TFBMBY,0.0,0.0,0.0,0.0
AA0731TFBBOD,0.0,0.0,0.0,0.0
AA0861QEYPHH,40.76,0.72,40.4,41.84
BA2401CJMTFB,11.92,9.9805,0.0,22.4
BA2603MBYMBQ,0.0,0.0,0.0,0.0
AA0672TFBEFO,23.8,0.0,23.8,23.8
BA2192TFBHFH,0.0,0.0,0.0,0.0
AA0686QEYPSE,26.44,1.2737,25.4,28.0
BA2539TFBGBU,21.92,2.16,18.68,23.0
BA2121TFBQEY,0.0,0.0,0.0,0.0
AA0590QEYTOB,3.44,6.88,0.0,13.76
BA2368TFBCPJ,0.0,0.0,0.0,0.0
AA0659QIYQEY,15.64,5.7375,7.04,21.08
BA2101QTDTFB,7.92,2.3241,5.4,11.0
BA2083QEYSEN,5.6,5.2597,0.08,12.92
BA2358QEYHFH,0.0,0.0,0.0,0.0
AA0151BODPUA,31.16,8.1323,21.2,37.8
AA0045BODCFU,7.48,9.7551,0.0,21.88
BA2264TFBZWS,0.0,0.0,0.0,0.0
BA2442SOPTFB,20.92,1.2812,19.28,22.2
AA0307TGPTFB,0.0,0.0,0.0,0.0
AA0562QEYMBY,16.6,0.0,16.6,16.6
AA0060LUOTFB,0.0,0.0,0.0,0.0
AA0223NFYMBY,15.72,12.8353,0.0,26.2
BA2167TKDQTQ,0.0,0.0,0.0,0.0
AA0075TFBKOV,0.0,0.0,0.0,0.0
BA2250SOPTFB,20.84,2.1407,18.88,23.96
BA2289GDBTFB,3.56,7.12,0.0,14.24
AA0505TOBTFB,17.8,0.0,17.8,17.8
AA0603MBTTFB,22.64,1.6657,20.6,24.0
BA2052QEYTFB,0.0,0.0,0.0,0.0
AA0604TFBMBT,15.88,5.0748,8.32,20.0
AA0524TFBCVS,0.0,0.0,0.0,0.0
BA2637TFBPBL,14.84,2.72,10.76,16.2
AA0622QEYMBT,6.96,8.5242,0.0,17.4
BA2644PBLQEY,5.0,6.4696,0.0,14.48
BA2223QEYCPJ,12.48,0.96,12.0,13.92
AA0631QIYTFB,26.36,0.196,26.2,26.6
BA2117ZZDTFB,0.0,0.0,0.0,0.0
AA0754TFBTUM,25.6,0.0,25.6,25.6
BA2175TFBQEY,0.0,0.0,0.0,0.0
AA0517TOBTFB,24.0,0.0,24.0,24.0
AA0642TFBQIY,10.8,9.1765,0.0,21.28
AA0529CVSTFB,22.4,0.0,22.4,22.4
BA2483CMJTFB,8.48,2.3515,6.8,12.08
AA0259QWSMBY,31.2,0.0,31.2,31.2
BA2700NGSMBY,1.9664,3.9329,0.0,7.8657
BA2039TFBQEY,0.0,0.0,0.0,0.0
AA0220TGPQWS,23.4,0.0,23.4,23.4
AA0482TFBTBO,5.44,7.375,0.0,16.6
AA0152BODPNF,11.24,14.5197,0.0,32.48
AA0730TFBJBI,23.4,0.0,23.4,23.4
AA3294BODEVU,0.0,0.0,0.0,0.0
AA0357PBLTFB,15.76,0.88,14.44,16.2
AA0576QEYTBO,18.8,0.0,18.8,18.8
BA2130QEYTFB,0.0,0.0,0.0,0.0
AA0742TFBBUM,32.48,0.96,32.0,33.92
BA2119ZZDTFB,0.0,0.0,0.0,0.0
BA2405CPJTNG,0.0,0.0,0.0,0.0
AA0354TFBPBL,3.24,6.48,0.0,12.96
AA0317QTQTGP,17.8,0.0,17.8,17.8
BA2391CPJTFB,16.72,0.64,16.4,17.68
BA2326HUGIMO,0.0,0.0,0.0,0.0
AA0531POUTFB,17.8,0.0,17.8,17.8
AA0244MBYNFY,26.8,0.0,26.8,26.8
AA3475MHCTFB,14.6,0.0,14.6,14.6
AA0302TGPQTQ,0.0,0.0,0.0,0.0
BA2051TFBQEY,0.0,0.0,0.0,0.0
BA2583ZFHTFB,0.0,0.0,0.0,0.0
BA2018QEYTFB,5.24,4.4693,0.8,11.64
AA0004TFBEDB,51.88,3.3313,47.8,54.6
AA0621MBTQEY,6.08,7.5753,0.0,16.52
AA0843TFBLPB,21.08,17.3899,0.0,37.4
AA0187BODGBJ,0.0,0.0,0.0,0.0
AA0109TFBBOD,43.96,0.32,43.8,44.44
AA0073TJUKOV,0.0,0.0,0.0,0.0
AA0690TFBHFH,4.44,4.1287,0.0,9.96
BA2357HFHQEY,0.0,0.0,0.0,0.0
BA2506TFBHFH,0.0,0.0,0.0,0.0
AA0648TFBUVT,0.0,0.0,0.0,0.0
AA0673EFOTFB,16.0,0.0,16.0,16.0
AA0693HFHTFB,0.0,0.0,0.0,0.0
AA0479MBYQEY,12.68,5.3689,4.76,16.8
BA2544QEYTFB,4.6,5.6935,0.0,12.28
BA2573TFBQEY,0.0,0.0,0.0,0.0
AA0065XSHQTH,0.0,0.0,0.0,0.0
AA0481TBOTFB,25.0,0.0,25.0,25.0
AA0668TFBBVT,20.2,0.0,20.2,20.2
AA0502TFBTOB,0.0,0.0,0.0,0.0
AA0852IOMTFB,43.96,1.7591,41.84,45.8
BA2079BMXTFB,4.16,5.0949,0.0,10.4
AA0511TOBTFB,17.8,0.0,17.8,17.8
BA2422CPJQEY,13.44,0.7838,12.24,14.0
AA0512TFBTOB,17.8,0.0,17.8,17.8
AA0326TFBTKD,0.0,0.0,0.0,0.0
AA0307QTQTGP,17.04,1.52,14.76,17.8
AA0678TFBEFO,0.0,0.0,0.0,0.0
AA0065TFBLUO,0.0,0.0,0.0,0.0
AA0244TFBMBY,17.8,0.0,17.8,17.8
BA2478MBTTUT,21.0,2.4495,19.0,24.0
AA0649MBTCMJ,21.6,1.2,21.0,23.4
BA2383ZZKTFB,0.0,0.0,0.0,0.0
AA0846MJIPBL,32.8,0.0,32.8,32.8
BA2461TFBNGS,15.16,2.0175,12.04,16.4
BA2102TFBQTD,0.0,0.0,0.0,0.0
BA2546TKDQEY,11.04,9.1095,0.0,20.08
