Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P046776,15.6,13.21,15.6,0.0,133.0,2074.8,BA2526TNGQEY,BA2526,F0C0Y76,BA2526TNGQEY,13.36
P004622,7.2,8.09,7.2,0.0,288.0,2073.6,AA0005EDBMBY,AA0005,F16C0Y165,AA0005EDBMBY,25.44
P005388,10.8,11.11,10.8,0.0,192.0,2073.6,AA0665EGXTFB,AA0665,F16C0Y165,AA0665EGXTFB,2.28
P039082,6.2,6.66,6.2,0.0,334.0,2070.8,AA0731TFBBOD,super_AA0731,F16C0Y165,AA0731TFBBOD,0.0
P015799,13.0,13.17,13.0,0.0,159.0,2067.0,AA0487TBOTFB,AA0487,F0C0Y76,AA0487TBOTFB,25.0
P036212,16.4,16.14,16.4,0.0,126.0,2066.4,BA2014QEYTFB,BA2014,F16C0Y165,BA2014QEYTFB,10.2
P039704,16.4,15.73,16.4,0.0,126.0,2066.4,BA2392TFBHFH,BA2392,F0C0Y76,BA2392TFBHFH,2.84
P039847,7.0,7.81,7.0,0.0,295.0,2065.0,AA0730TFBJBI,super_AA0730,F16C0Y165,AA0730TFBJBI,23.4
P007831,6.0,5.98,6.0,0.0,344.0,2064.0,AA0060LUOTFB,super_AA0060,F0C0Y76,AA0060LUOTFB,0.0
P041762,12.2,10.14,12.2,0.0,169.0,2061.8,AA0755TUMTFB,AA0755,F16C0Y165,AA0755TUMTFB,25.4
P044360,18.6,19.91,18.4,0.2,112.0,2060.8,BA2532GBUQEY,BA2532,F0C0Y76,BA2532GBUQEY,8.4
P036838,8.8,7.14,8.8,0.0,234.0,2059.2,BA2450QEYZWS,BA2450,F0C0Y76,BA2450QEYZWS,3.52
P033347,8.2,6.42,8.2,0.0,251.0,2058.2,AA0812PHHTKD,AA0812,F16C0Y165,AA0812PHHTKD,7.32
P000148,8.4,10.58,8.4,0.0,245.0,2058.0,AA0043BODCFU,AA0043,F0C0Y76,AA0043BODCFU,35.0
P007699,6.0,5.32,6.0,0.0,343.0,2058.0,AA0067LUOBOD,,,AA0067LUOBOD,0.0
P039317,25.4,23.85,25.4,0.0,81.0,2057.4,BA2368TFBCPJ,BA2368,F0C0Y76,BA2368TFBCPJ,0.0
P000827,11.0,10.03,11.0,0.0,187.0,2057.0,AA0051BODGBJ,super_AA0051,F12C12Y48,AA0051BODGBJ,20.72
P031171,8.0,8.69,8.0,0.0,257.0,2056.0,AA0731JBIBOD,,,AA0731JBIBOD,0.0
P020616,8.6,9.17,8.6,0.0,239.0,2055.4,AA0363TNGTFB,AA0363,F16C0Y165,AA0363TNGTFB,0.0
P002933,5.0,3.9,5.0,0.0,411.0,2055.0,AA0092BODTFB,AA0092,F16C0Y165,AA0092BODTFB,0.0
P002895,6.6,5.9,6.6,0.0,311.0,2052.6,AA0084BODTFB,AA0084,F16C0Y165,AA0084BODTFB,0.0
P000840,15.2,15.51,15.2,0.0,135.0,2052.0,AA0055BODGBJ,super_AA0055,F12C12Y48,AA0055BODGBJ,13.76
P020644,36.6,38.83,21.6,15.0,95.0,2052.0,AA0373TNGTFB,AA0373,F16C0Y165,AA0373TNGTFB,17.68
